Ref,Val,Package,PosX,PosY,Rot,Side
C1,100nF,C_0402_1005Metric,96.000000,-116.000000,0.000000,top
C2,100nF,C_0402_1005Metric,100.300000,-116.000000,0.000000,top
C3,100nF,C_0402_1005Metric,104.600000,-116.000000,0.000000,top
C4,100nF,C_0402_1005Metric,108.900000,-116.000000,0.000000,top
C5,100nF,C_0402_1005Metric,113.200000,-116.000000,0.000000,top
C6,100nF,C_0402_1005Metric,117.500000,-116.000000,0.000000,top
C7,100nF,C_0402_1005Metric,121.800000,-116.000000,0.000000,top
C8,100nF,C_0402_1005Metric,126.100000,-116.000000,0.000000,top
C9,100nF,C_0402_1005Metric,184.000000,-116.000000,0.000000,top
C10,100nF,C_0402_1005Metric,188.300000,-116.000000,0.000000,top
C11,100nF,C_0402_1005Metric,192.600000,-116.000000,0.000000,top
C12,100nF,C_0402_1005Metric,196.900000,-116.000000,0.000000,top
C13,100nF,C_0402_1005Metric,201.200000,-116.000000,0.000000,top
C14,100nF,C_0402_1005Metric,205.500000,-116.000000,0.000000,top
C15,100nF,C_0402_1005Metric,209.800000,-116.000000,0.000000,top
C16,100nF,C_0402_1005Metric,214.100000,-116.000000,0.000000,top
J20,PCIe_x16_SLOT,PCIE_x16_SLOT,30.000000,-13.000000,0.000000,top
J21,PCIe_x16_SLOT,PCIE_x16_SLOT,110.000000,-13.000000,0.000000,top
J22,PCIe_x16_SLOT,PCIE_x16_SLOT,190.000000,-13.000000,0.000000,top
J23,PCIe_x16_SLOT,PCIE_x16_SLOT,270.000000,-13.000000,0.000000,top
U1,NCE_Gen3_SpikingBrain,BGA-2500_40x40mm_P0.8mm,111.000000,-89.000000,0.000000,top
U3,TFLN_PIC_4xMZM,Custom_Optical_Module_25x8mm,155.000000,-89.000000,0.000000,top
U4,NCE_Gen3_SpikingBrain,BGA-2500_40x40mm_P0.8mm,199.000000,-89.000000,0.000000,top
U30,HBM4-16GB,BGA-1024_12x9mm,96.000000,-75.000000,0.000000,top
U31,HBM4-16GB,BGA-1024_12x9mm,106.000000,-75.000000,0.000000,top
U32,HBM4-16GB,BGA-1024_12x9mm,116.000000,-75.000000,0.000000,top
U33,HBM4-16GB,BGA-1024_12x9mm,126.000000,-75.000000,0.000000,top
U34,HBM4-16GB,BGA-1024_12x9mm,96.000000,-103.000000,0.000000,top
U35,HBM4-16GB,BGA-1024_12x9mm,106.000000,-103.000000,0.000000,top
U40,HBM4-16GB,BGA-1024_12x9mm,204.000000,-75.000000,0.000000,top
U41,HBM4-16GB,BGA-1024_12x9mm,214.000000,-75.000000,0.000000,top
U42,HBM4-16GB,BGA-1024_12x9mm,184.000000,-103.000000,0.000000,top
U43,HBM4-16GB,BGA-1024_12x9mm,194.000000,-103.000000,0.000000,top
U44,HBM4-16GB,BGA-1024_12x9mm,204.000000,-103.000000,0.000000,top
U45,HBM4-16GB,BGA-1024_12x9mm,214.000000,-103.000000,0.000000,top
U50,HMC8410,QFN-32-1EP_5x5mm_P0.5mm,147.000000,-53.000000,0.000000,top
U51,HMC8410,QFN-32-1EP_5x5mm_P0.5mm,152.300000,-53.000000,0.000000,top
U52,HMC8410,QFN-32-1EP_5x5mm_P0.5mm,157.700000,-53.000000,0.000000,top
U53,HMC8410,QFN-32-1EP_5x5mm_P0.5mm,163.000000,-53.000000,0.000000,top
U200,ISL69260,QFN-48-1EP_7x7mm_P0.5mm,20.000000,-162.000000,0.000000,top
U201,ISL69260,QFN-48-1EP_7x7mm_P0.5mm,30.000000,-162.000000,0.000000,top
U202,ISL69260,QFN-48-1EP_7x7mm_P0.5mm,40.000000,-162.000000,0.000000,top
U203,ISL69260,QFN-48-1EP_7x7mm_P0.5mm,50.000000,-162.000000,0.000000,top
U210,ISL99390,PQFN-40_5x6mm,57.000000,-156.000000,0.000000,top
U211,ISL99390,PQFN-40_5x6mm,74.800000,-156.000000,0.000000,top
U212,ISL99390,PQFN-40_5x6mm,92.600000,-156.000000,0.000000,top
U213,ISL99390,PQFN-40_5x6mm,110.400000,-156.000000,0.000000,top
U214,ISL99390,PQFN-40_5x6mm,128.199999,-156.000000,0.000000,top
U215,ISL99390,PQFN-40_5x6mm,146.000000,-156.000000,0.000000,top
U216,ISL99390,PQFN-40_5x6mm,163.800000,-156.000000,0.000000,top
U217,ISL99390,PQFN-40_5x6mm,181.600000,-156.000000,0.000000,top
U218,ISL99390,PQFN-40_5x6mm,199.400000,-156.000000,0.000000,top
U219,ISL99390,PQFN-40_5x6mm,217.200000,-156.000000,0.000000,top
U220,ISL99390,PQFN-40_5x6mm,235.000000,-156.000000,0.000000,top
