ball_id,row,col,category,signal_group,voltage_bank,direction,status
A1,A,1,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A2,A,2,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A3,A,3,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A4,A,4,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A5,A,5,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A6,A,6,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A7,A,7,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A8,A,8,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A9,A,9,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A10,A,10,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A11,A,11,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A12,A,12,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A13,A,13,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A14,A,14,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A15,A,15,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A16,A,16,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A17,A,17,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A18,A,18,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A19,A,19,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A20,A,20,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
A21,A,21,POWER,VDD_CORE_RING,VDD_0V75,PWR,DRAFT-PENDING-IP-OWNER-SIGNOFF
