reference,value,mpn,description,footprint,pad_count,connected_net_count,connected_nets_sample
C1,100nF,GRM155R71C104KA88,"100nF 16V X7R 0402, Murata",Capacitor_SMD:C_0402_1005Metric,0,0,
C2,100nF,GRM155R71C104KA88,"100nF 16V X7R 0402, Murata",Capacitor_SMD:C_0402_1005Metric,0,0,
C3,100nF,GRM155R71C104KA88,"100nF 16V X7R 0402, Murata",Capacitor_SMD:C_0402_1005Metric,0,0,
C4,100nF,GRM155R71C104KA88,"100nF 16V X7R 0402, Murata",Capacitor_SMD:C_0402_1005Metric,0,0,
C5,100nF,GRM155R71C104KA88,"100nF 16V X7R 0402, Murata",Capacitor_SMD:C_0402_1005Metric,0,0,
C6,100nF,GRM155R71C104KA88,"100nF 16V X7R 0402, Murata",Capacitor_SMD:C_0402_1005Metric,0,0,
C7,100nF,GRM155R71C104KA88,"100nF 16V X7R 0402, Murata",Capacitor_SMD:C_0402_1005Metric,0,0,
C8,100nF,GRM155R71C104KA88,"100nF 16V X7R 0402, Murata",Capacitor_SMD:C_0402_1005Metric,0,0,
C9,100nF,GRM155R71C104KA88,,Capacitor_SMD:C_0402_1005Metric,0,0,
C10,100nF,GRM155R71C104KA88,,Capacitor_SMD:C_0402_1005Metric,0,0,
C11,100nF,GRM155R71C104KA88,,Capacitor_SMD:C_0402_1005Metric,0,0,
C12,100nF,GRM155R71C104KA88,,Capacitor_SMD:C_0402_1005Metric,0,0,
C13,100nF,GRM155R71C104KA88,,Capacitor_SMD:C_0402_1005Metric,0,0,
C14,100nF,GRM155R71C104KA88,,Capacitor_SMD:C_0402_1005Metric,0,0,
C15,100nF,GRM155R71C104KA88,,Capacitor_SMD:C_0402_1005Metric,0,0,
C16,100nF,GRM155R71C104KA88,,Capacitor_SMD:C_0402_1005Metric,0,0,
CL01,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_00
CL02,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_01
CL03,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_02
CL04,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_03
CL05,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_04
CL06,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_05
CL07,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_06
CL08,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_07
CL09,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_08
CL10,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_09
CL11,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_10
CL12,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_11
CL13,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_12
CL14,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_13
CL15,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_14
CL16,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_15
CL17,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_16
CL18,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_17
CL19,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_18
CL20,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_19
CL21,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_20
CL22,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_21
CL23,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_22
CL24,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_23
CL25,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_24
CL26,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_25
CL27,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_26
CL28,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_27
CL29,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_28
CL30,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_29
CL31,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_30
CL32,FILTER_MON_TBD,,,,2,1,L_OPT_MONITOR_31
CLP01,BULK_CAP_TBD,,,,2,0,
CLP02,BULK_CAP_TBD,,,,2,0,
CLP03,BULK_CAP_TBD,,,,2,0,
CLP04,BULK_CAP_TBD,,,,2,0,
CLP05,BULK_CAP_TBD,,,,2,0,
CLP06,BULK_CAP_TBD,,,,2,0,
CLP07,BULK_CAP_TBD,,,,2,0,
CLP08,BULK_CAP_TBD,,,,2,0,
CLP09,BULK_CAP_TBD,,,,2,0,
CLP10,BULK_CAP_TBD,,,,2,0,
CLP11,BULK_CAP_TBD,,,,2,0,
CLP12,BULK_CAP_TBD,,,,2,0,
CML01,100nF_TBD,,,,2,0,
CML02,100nF_TBD,,,,2,0,
CML03,100nF_TBD,,,,2,0,
CML04,100nF_TBD,,,,2,0,
CML05,100nF_TBD,,,,2,0,
CML06,100nF_TBD,,,,2,0,
CML07,100nF_TBD,,,,2,0,
CML08,100nF_TBD,,,,2,0,
CML09,100nF_TBD,,,,2,0,
CML10,100nF_TBD,,,,2,0,
CML11,100nF_TBD,,,,2,0,
CML12,100nF_TBD,,,,2,0,
CML13,100nF_TBD,,,,2,0,
CML14,100nF_TBD,,,,2,0,
CML15,100nF_TBD,,,,2,0,
CML16,100nF_TBD,,,,2,0,
CML17,100nF_TBD,,,,2,0,
CML18,100nF_TBD,,,,2,0,
